desc,acc,br,ca,sub,n1,len
Application Fees/waiting list,1422000028,1,14,142,1422,10
Building adminstration fees,1422000029,1,14,142,1422,10
Natural resources fees,1422000030,1,14,142,1422,10
search fees,1422000031,1,14,142,1422,10
Change of owner ship fees,1422000032,1,14,142,1422,10
Cession fees,1422000033,1,14,142,1422,10
Endowment fees,1422000034,1,14,142,1422,10
Parking fees-revenue,1422000035,1,14,142,1422,10
Health fees,1422000036,1,14,142,1422,10
Public Toilet Fees,1422000037,1,14,142,1422,10
way leaves,1422000038,1,14,142,1422,10
Termini fees,1422000039,1,14,142,1422,10
Beer levy,1422000040,1,14,142,1422,10
Abatoir fees,1422000041,1,14,142,1422,10
Ambulance fees,1422000042,1,14,142,1422,10
Fire brigade fees,1422000043,1,14,142,1422,10
Fees at government hospitals and clinics,1422000044,1,14,142,1422,10
Tuition fees,1422000046,1,14,142,1422,10
Admission fees to government museums,1422000047,1,14,142,1422,10
"Admission fees parks, and cultural and recreational facilities",1422000048,1,14,142,1422,10
Tender documents Sale/fees,1422000049,1,14,142,1422,10
Education Levy,1422000050,1,14,142,1422,10
Incidental sales by nonmarket establishments,1423,1,14,142,1423,4
Sales of products made at vocational institutions,1423000001,1,14,142,1423,10
Sales not elsewhere classified,1423000006,1,14,142,1423,10
Imputed sales of goods and services,1424,1,14,142,1424,4
Imputed sales of goods and services for paying employees,1424000001,1,14,142,1424,10
Rentals & Land Sales,1425,1,14,142,1425,4
Rentals,14250,1,14,142,1425,5
Institutional Accommodation,1425000001,1,14,142,1425,10
Hire of facilities,1425000003,1,14,142,1425,10
Hire of equipment-revenue,1425000005,1,14,142,1425,10
Office Rentals,1425000006,1,14,142,1425,10
House Rentals,1425000007,1,14,142,1425,10
lease,14251,1,14,142,1425,5
Lease of  commercial stand,1425100001,1,14,142,1425,10
Lease of institutional stand,1425100002,1,14,142,1425,10
Lease of residential stand,1425100003,1,14,142,1425,10
Sale of Land,14252,1,14,142,1425,5
sale of  commercial stand,1425200001,1,14,142,1425,10
Sale of institutional stand,1425200002,1,14,142,1425,10
sale of residential stand,1425200003,1,14,142,1425,10
sale of industrial stand,1425200004,1,14,142,1425,10
Service Charges,14253,1,14,142,1425,5
sewer charges,1425300001,1,14,142,1425,10
Public Lighting,1425300002,1,14,142,1425,10
Water charges,1425300003,1,14,142,1425,10
Fire Levy,1425300004,1,14,142,1425,10
Refuse Charges,1425300005,1,14,142,1425,10
Other services charges (road side walk),1425300006,1,14,142,1425,10
Education/school levy,1425300007,1,14,142,1425,10
Roads levy,1425300008,1,14,142,1425,10
"Fines, penalties, and forfeits",143,1,14,143,143,3
Forfeits,1430000003,1,14,143,1430,10
Employment Related Penalties,1430000004,1,14,143,1430,10
Trafic enforcement penalty,1430000005,1,14,143,1430,10
Building Enforcement Penalty,1430000006,1,14,143,1430,10
Trading Penalty,1430000007,1,14,143,1430,10
Environment,1430000008,1,14,143,1430,10
Other penalties and fines,1430000009,1,14,143,1430,10
Pound Fees (for animals),1430000010,1,14,143,1430,10
Transfers not elsewhere classified,144,1,14,144,144,3
Current transfers not elsewhere classified,1441,1,14,144,1441,4
Subsidies,14411,1,14,144,1441,5
Subsidies: From Budgetary central government,1441100001,1,14,144,1441,10
Subsidies: From Extrabudgetary entities,1441100002,1,14,144,1441,10
Subsidies: From Local government,1441100003,1,14,144,1441,10
Subsidies: From Regional government,1441100004,1,14,144,1441,10
Subsidies: From Social security funds,1441100005,1,14,144,1441,10
Subsidies: From general government n.e.c,1441100006,1,14,144,1441,10
Other current transfers not elsewhere classified,14412,1,14,144,1441,5
Current transfers n.e.c: From Public corporations,1441201,1,14,144,1441,7
Donations,1441201001,1,14,144,1441,10
Gifts,1441201002,1,14,144,1441,10
Currents transfers not considered to be donations or gifts,1441201003,1,14,144,1441,10
Current transfers n.e.c: From Private corporations,1441202,1,14,144,1441,7
Donations,1441202001,1,14,144,1441,10
Gifts,1441202002,1,14,144,1441,10
Currents transfers not considered to be donations or gifts,1441202003,1,14,144,1441,10
Current transfers n.e.c: From Households,1441203,1,14,144,1441,7
Donations,1441203001,1,14,144,1441,10
Gifts,1441203002,1,14,144,1441,10
Currents transfers not considered to be donations or gifts,1441203003,1,14,144,1441,10
Current transfers n.e.c: From Budgetary central government,1441205,1,14,144,1441,7
Donations,1441205001,1,14,144,1441,10
Gifts,1441205002,1,14,144,1441,10
Current transfers n.e.c: From unidentifiable source,1441210,1,14,144,1441,7
Donations,1441210001,1,14,144,1441,10
Gifts,1441210002,1,14,144,1441,10
Other capital transfers not elsewhere classified,0,0,0,0,0,0
Capital transfers n.e.c: From Public corporations,1442000004,1,14,144,1442,10
Capital transfers n.e.c: From Private corporations,1442000006,1,14,144,1442,10
Capital transfers n.e.c: From Households,1442000007,1,14,144,1442,10
Capital transfers n.e.c: From Nonprofit institutions serving households,1442000008,1,14,144,1442,10
Capital transfers n.e.c: From Budgetary central government,1442000009,1,14,144,1442,10
Capital transfers n.e.c: From Extrabudgetary entities,1442000010,1,14,144,1442,10
Capital transfers n.e.c: From Local government,1442000011,1,14,144,1442,10
Capital transfers n.e.c: From Regional government,1442000012,1,14,144,1442,10
Capital transfers n.e.c: From Social security funds,1442000013,1,14,144,1442,10
Capital transfers n.e.c: From unidentifiable source,1442000014,1,14,144,1442,10
EXPENSES,2,2,2,2,2,1
Compensation of employees [GFS],21,2,21,21,21,2
Wages and salaries [GFS],211,2,21,211,211,3
Wages and salaries in cash [GFS],2111,2,21,211,2111,4
Basic salary,2111000001,2,21,211,2111,10
Constitutional salary,2111000002,2,21,211,2111,10
Casual labourers,2111000003,2,21,211,2111,10
Part time,2111000004,2,21,211,2111,10
Contract,2111000005,2,21,211,2111,10
External Service/Resident,2111000006,2,21,211,2111,10
External Service/Non Resident,2111000007,2,21,211,2111,10
Allowances,2111,2,21,211,2111,4
Abnormal hours,2111000050,2,21,211,2111,10
Acting,2111000051,2,21,211,2111,10
Ambulance driver,2111000052,2,21,211,2111,10
Anaesthetic,2111000053,2,21,211,2111,10
Bituman,2111000054,2,21,211,2111,10
Bonus,2111000055,2,21,211,2111,10
Calculated overtime allowance,2111000057,2,21,211,2111,10
Call out allowance,2111000058,2,21,211,2111,10
Cash in lieu of leave (C.I.L)/ Encashment,2111000059,2,21,211,2111,10
Catering allowance,2111000060,2,21,211,2111,10
Cellphone,2111000061,2,21,211,2111,10
Control posts allowance,2111000065,2,21,211,2111,10
Cycle allowance,2111000066,2,21,211,2111,10
Domestic Worker Allowance,2111000067,2,21,211,2111,10
Driving Allowance,2111000069,2,21,211,2111,10
Education Allowance,2111000070,2,21,211,2111,10
Housing allowance,2111000077,2,21,211,2111,10
Internship/Attachment,2111000079,2,21,211,2111,10
Living out allowance,2111000082,2,21,211,2111,10
Locum,2111000083,2,21,211,2111,10
Night duty allowance,2111000086,2,21,211,2111,10
On call allowance,2111000087,2,21,211,2111,10
Professional and Technical Allowance,2111000091,2,21,211,2111,10
Relocation Allowance,2111000092,2,21,211,2111,10
Representation allowance,2111000093,2,21,211,2111,10
Responsibility allowance,2111000095,2,21,211,2111,10
Retention Allowance,2111000096,2,21,211,2111,10
Risk Allowance,2111000097,2,21,211,2111,10
Sanitary allowance,2111000098,2,21,211,2111,10
Shift allowance,2111001000,2,21,211,2111,10
Slaughter floor allowance,2111001001,2,21,211,2111,10
Stand by allowance,2111001004,2,21,211,2111,10
Telephone,2111001006,2,21,211,2111,10
Theartre allowance,2111001007,2,21,211,2111,10
Transport allowance,2111001009,2,21,211,2111,10
Uniforms,2111000110,2,21,211,2111,10
X-Ray operator allowance,2111000111,2,21,211,2111,10
Mortuary attendant allowance,2111000112,2,21,211,2111,10
Student allowances,2111000113,2,21,211,2111,10
Special allowance,2111000114,2,21,211,2111,10
Councillors Allowances,2111000116,2,21,211,2111,10
Tutors / Instructors,2111000117,2,21,211,2111,10
Messengers allowances,2111000120,2,21,211,2111,10
Entertainment Allowance,2111000122,2,21,211,2111,10
Rural Allowance,2111000125,2,21,211,2111,10
School Fees Allowance,2111000127,2,21,211,2111,10
Practising Allowance,2111000128,2,21,211,2111,10
Charge hand allowance (foreman),2111000135,2,21,211,2111,10
Chauffer allowance,2111000136,2,21,211,2111,10
anaesthetic,2111000137,2,21,211,2111,10
Sitting Allowance,2111000138,2,21,211,2111,10
Electricity and water allowance,2111000140,2,21,211,2111,10
Suspension allowance,2111000142,2,21,211,2111,10
Trade allowance,2111000144,2,21,211,2111,10
Motor vehicle allowance,2111000146,2,21,211,2111,10
Fringe Benefits allowance,2111000149,2,21,211,2111,10
camping allowance,2111000151,2,21,211,2111,10
Tools allowance,2111000152,2,21,211,2111,10
Cash handling allowance,2111000154,2,21,211,2111,10
long service award,2111000155,2,21,211,2111,10
Private mileage allowance,2111000156,2,21,211,2111,10
commisioner allowance (representation of councillors,2111000159,2,21,211,2111,10
Constitutional allowances,2111,2,21,211,2111,4
Chiefs and headman allowance,2111003010,2,21,211,2111,10
Wages and salaries in kind [GFS],2112,2,21,211,2112,4
S.I.K Food and refreshments,2112000001,2,21,211,2112,10
S.I.K Clothing,2112000002,2,21,211,2112,10
S.I.K Housing,2112000003,2,21,211,2112,10
S.I.K Diesel/Petrol,2112000004,2,21,211,2112,10
S.I.K Vehicle hire and lease,2112000005,2,21,211,2112,10
S.I.K Free travel,2112000006,2,21,211,2112,10
"S.I.K Sports, recreation or holidays",2112000007,2,21,211,2112,10
S.I.K Transport,2112000008,2,21,211,2112,10
S.I.K Child care,2112000009,2,21,211,2112,10
S.I.K Reduced Interest on Loan,2112000010,2,21,211,2112,10
S.I.K Newspapers,2112000011,2,21,211,2112,10
S.I.K Bonus shares or stock options,2112000012,2,21,211,2112,10
subsides land sales,2112000013,2,21,211,2112,10
Social contributions [GFS],212,2,21,212,212,3
Actual social contributions [GFS],2121,2,21,212,2121,4
National Social Security Scheme,2121000001,2,21,212,2121,10
Contributions to health insurance,2121000002,2,21,212,2121,10
Contributions to pension funds,2121000003,2,21,212,2121,10
Personal Accident Insurance,2121000004,2,21,212,2121,10
Severance payments,2121000006,2,21,212,2121,10
Medical Expenses,2121000007,2,21,212,2121,10
Funeral Expenses,2121000008,2,21,212,2121,10
Pension Employer Contributions,2121000009,2,21,212,2121,10
Gratuity,2121000010,2,21,212,2121,10
Imputed social contributions [GFS],2122,2,21,212,2122,4
Family benefits,2122000001,2,21,212,2122,10
Sick leave,2122000002,2,21,212,2122,10
Maternity leave,2122000003,2,21,212,2122,10
Severance payments,2122000004,2,21,212,2122,10
Medical Expenses,2122000005,2,21,212,2122,10
Funeral Expenses,2122000006,2,21,212,2122,10
Pension Employer Contributions,2122000007,2,21,212,2122,10
Gratuity,2122000008,2,21,212,2122,10
Use of Goods and Services,22,2,22,22,22,2
"Communication and Information, Supplies and Services",22001,2,22,220,2200,5
Public Relations & Advertising,2200100001,2,22,220,2200,10
Courier services,2200100002,2,22,220,2200,10
Internet,2200100003,2,22,220,2200,10
Maps,2200100004,2,22,220,2200,10
News services fees,2200100005,2,22,220,2200,10
Newspapers - general,2200100006,2,22,220,2200,10
Postal charges,2200100007,2,22,220,2200,10
Printing Services,2200100008,2,22,220,2200,10
"Audio/visual Tapes, records & disks",2200100009,2,22,220,2200,10
Telephone -fixed,2200100010,2,22,220,2200,10
Telephone-mobile,2200100011,2,22,220,2200,10
Telex /fax,2200100012,2,22,220,2200,10
Airwaves and Radio license,2200100013,2,22,220,2200,10
Exhibitions,2200100014,2,22,220,2200,10
Telephone - Roaming,2200100015,2,22,220,2200,10
"Educational Material, Supplies and Services",22002,2,22,220,2200,5
Archive material,2200200001,2,22,220,2200,10
Books,2200200002,2,22,220,2200,10
Laboratory accessories,2200200003,2,22,220,2200,10
Learning material,2200200004,2,22,220,2200,10
Periodicals,2200200005,2,22,220,2200,10
School/ College meals,2200200006,2,22,220,2200,10
"Sporting goods,",2200200007,2,22,220,2200,10
Teaching/Training materials,2200200008,2,22,220,2200,10
Examination expenses,2200200009,2,22,220,2200,10
Hospitality,22003,2,22,220,2200,5
Accomodation,2200300001,2,22,220,2200,10
Catering,2200300002,2,22,220,2200,10
Entertainment,2200300003,2,22,220,2200,10
Gifts and Donations,2200300004,2,22,220,2200,10
Visitors transport,2200300005,2,22,220,2200,10
Ex-gratia,2200300006,2,22,220,2200,10
Medical Supplies and Services,22004,2,22,220,2200,5
Anti-retroviral drugs &HIV Kits,2200400001,2,22,220,2200,10
Blood and Blood products,2200400002,2,22,220,2200,10
Contraceptives,2200400003,2,22,220,2200,10
Dental supplies,2200400004,2,22,220,2200,10
Drugs and medicines (not ARV drugs),2200400005,2,22,220,2200,10
Laboratory fees,2200400006,2,22,220,2200,10
Medical examinations,2200400007,2,22,220,2200,10
Medical laboratory supplies,2200400008,2,22,220,2200,10
Post mortem expenses,2200400009,2,22,220,2200,10
Surgical supplies,2200400010,2,22,220,2200,10
Vaccines,2200400011,2,22,220,2200,10
X-ray Supplies,2200400012,2,22,220,2200,10
Medical Gases,2200400013,2,22,220,2200,10
Mortuary Expenses,2200400014,2,22,220,2200,10
special Medical Requirements,2200400015,2,22,220,2200,10
Tuberculosis Drugs,2200400016,2,22,220,2200,10
Health systems strengthening,2200400017,2,22,220,2200,10
Pathology services,2200400018,2,22,220,2200,10
Office Supplies and Services,22006,2,22,220,2200,5
Microfilm/photocopying & photographic materials,2200600001,2,22,220,2200,10
"Computer consumables, accessories & supplies",2200600002,2,22,220,2200,10
Renewal of computer software licenses,2200600003,2,22,220,2200,10
Stationery supplies,2200600004,2,22,220,2200,10
Rental and Hire Expenses,22007,2,22,220,2200,5
Air charters,2200700001,2,22,220,2200,10
Boat hire,2200700002,2,22,220,2200,10
Office accommodation,2200700003,2,22,220,2200,10
"Plant, Machinery and equipment-Hire/lease and services",2200700004,2,22,220,2200,10
Staff accommodation,2200700005,2,22,220,2200,10
Conferences,2200700006,2,22,220,2200,10
Storage accommodation,2200700007,2,22,220,2200,10
Train / bulk movement,2200700008,2,22,220,2200,10
Vehicle hire and lease general,2200700009,2,22,220,2200,10
Training and Development Expenses,22008,2,22,220,2200,5
Training Allowances and incidentals,2200800001,2,22,220,2200,10
Training - Travel expenses,2200800002,2,22,220,2200,10
Training - Tuition and exam fees,2200800003,2,22,220,2200,10
Training - Accommodation,2200800004,2,22,220,2200,10
Domestic Travel Expenses,22009,2,22,220,2200,5
"Domestic allowances for accomodation, meals etc",2200900001,2,22,220,2200,10
Domestic travel fares,2200900002,2,22,220,2200,10
Baggage fee - Local,2200900003,2,22,220,2200,10
Toll/Parking Fees,2200900004,2,22,220,2200,10
Departure fee - Local,2200900005,2,22,220,2200,10
Domestic Allowances -others,2200900006,2,22,220,2200,10
Foreign Travel Expenses,22010,2,22,220,2201,5
External travel fares,2201000001,2,22,220,2201,10
"Foreign allowances for accomodation, meals etc",2201000002,2,22,220,2201,10
Visas,2201000003,2,22,220,2201,10
Baggage fee - Foreign,2201000004,2,22,220,2201,10
Departure fee - Foreign,2201000005,2,22,220,2201,10
Toll/Parking Fees- Foreign,2201000006,2,22,220,2201,10
Medical Vaccination - for Foreign Travel,2201000007,2,22,220,2201,10
Medical Insurance- Foreign Travell,2201000008,2,22,220,2201,10
Vehicle Hire- Foreign Travell,2201000009,2,22,220,2201,10
Utilities and Other Service Charges,22011,2,22,220,2201,5
Coal,2201100001,2,22,220,2201,10
Electricity,2201100002,2,22,220,2201,10
Firewood,2201100003,2,22,220,2201,10
Gas,2201100004,2,22,220,2201,10
Water,2201100005,2,22,220,2201,10
Rates,2201100006,2,22,220,2201,10
Sewage and Refuse Collection & Other charges,2201100007,2,22,220,2201,10
Hire of services,2201100008,2,22,220,2201,10
Heating oil,2201100009,2,22,220,2201,10
Chemicals Fertiliser and Animal Feeds,22012,2,22,220,2201,5
Stock feed,2201200001,2,22,220,2201,10
Agro-Chemicals,2201200002,2,22,220,2201,10
Fertiliser,2201200003,2,22,220,2201,10
Seed and seedlings,2201200004,2,22,220,2201,10
Targets and attractants,2201200005,2,22,220,2201,10
Dip chemicals,2201200006,2,22,220,2201,10
Veterinary Vaccines,2201200007,2,22,220,2201,10
Veterinary Drugs,2201200008,2,22,220,2201,10
Veterinary Laboratory Expenses,2201200009,2,22,220,2201,10
Water Treatment chemicals,2201200010,2,22,220,2201,10
Sewerage Treatment chemicals,2201200011,2,22,220,2201,10
Refunds - Constitutional,22013,2,22,220,2201,5
Refunds - Revenue,2201300001,2,22,220,2201,10
Financial Transactions,22014,2,22,220,2201,5
Audit Fees,2201400001,2,22,220,2201,10
Audit Committee expenses,2201400002,2,22,220,2201,10
Bank transaction fees,2201400003,2,22,220,2201,10
Board fees,2201400004,2,22,220,2201,10
Borrowing  related costs,2201400005,2,22,220,2201,10
Consultancy fees/extranoeus professional services,2201400006,2,22,220,2201,10
Debt collection expenses,2201400007,2,22,220,2201,10
Exchange rate loss,2201400008,2,22,220,2201,10
Legal fees,2201400009,2,22,220,2201,10
Loss on disposal,2201400010,2,22,220,2201,10
Loss of public money,2201400011,2,22,220,2201,10
Fiscal Fiduciary Fees,2201400012,2,22,220,2201,10
Import Duty,2201400013,2,22,220,2201,10
Holding Loss,2201400014,2,22,220,2201,10
Technical related costs,2201400015,2,22,220,2201,10
Valuation expenses,2201400016,2,22,220,2201,10
Institutional Provisions,22015,2,22,220,2201,5
Bedding and linen,2201500001,2,22,220,2201,10
Uniform/Ceremonial dress and National symbols,2201500002,2,22,220,2201,10
Protective clothing,2201500003,2,22,220,2201,10
Food and refreshments,2201500004,2,22,220,2201,10
Rations,2201500005,2,22,220,2201,10
Toiletries,2201500006,2,22,220,2201,10
Other Goods and Services Not Classified Above,22016,2,22,220,2201,5
Honorariums and awards,2201600001,2,22,220,2201,10
Material licence discs and number plates,2201600002,2,22,220,2201,10
Witness expenses,2201600003,2,22,220,2201,10
Cost Insurance and Freight including  Demurrage,2201600006,2,22,220,2201,10
Procurement and Handling Fees,2201600008,2,22,220,2201,10
General Insurance,2201600009,2,22,220,2201,10
Hunting qoutas,2201600010,2,22,220,2201,10
commissions expenses,2201600011,2,22,220,2201,10
Raw Water,2201600012,2,22,220,2201,10
Physical Maintenance,22017,2,22,220,2201,5
Building Maintenance,2201700001,2,22,220,2201,10
Road Maintenance,2201700002,2,22,220,2201,10
Walling and Fencing Maintenance,2201700003,2,22,220,2201,10
Plumbing Maintenance,2201700004,2,22,220,2201,10
Electrical supplies Maintenance,2201700005,2,22,220,2201,10
Borehole casings and accessories Maintenance,2201700006,2,22,220,2201,10
Building Repairs,2201700007,2,22,220,2201,10
Road Repairs,2201700008,2,22,220,2201,10
Walling and Fencing Repairs,2201700009,2,22,220,2201,10
Plumbing Repairs,2201700010,2,22,220,2201,10
Electrical supplies Repairs,2201700011,2,22,220,2201,10
Borehole casings and accessories Repairs,2201700012,2,22,220,2201,10
Infrastrucure maintainance,2201700013,2,22,220,2201,10
Infrastrucure Repairs,2201700014,2,22,220,2201,10
Technical and Office Equipment,22018,2,22,220,2201,5
Tools and Implements,2201800001,2,22,220,2201,10
Parts - Technical equipment,2201800002,2,22,220,2201,10
Medical and Diagnostic equipment,2201800003,2,22,220,2201,10
Office equipment,2201800004,2,22,220,2201,10
Residental Furniture and Equipment,2201800005,2,22,220,2201,10
Technical  maintenance,2201800006,2,22,220,2201,10
Technical  repairs,2201800007,2,22,220,2201,10
Vehicle and Mobile Equipment,22019,2,22,220,2201,5
Maintenance of mobile equipment,2201900001,2,22,220,2201,10
Maintenance of vehicles,2201900002,2,22,220,2201,10
Repairs of mobile equipment,2201900003,2,22,220,2201,10
Repairs of vehicles,2201900004,2,22,220,2201,10
Panel & body shop repairs,2201900003,2,22,220,2201,10
Parts -mechanical/electrical (Vehicles and mobile equipment),2201900004,2,22,220,2201,10
Tyres/batteries,2201900005,2,22,220,2201,10
Motor vehicle Insurance,2201900006,2,22,220,2201,10
Motor vehicle Iicences,2201900007,2,22,220,2201,10
Stationary Plant and Fixed Equipment,22020,2,22,220,2202,5
Maintenance of plant and fixed equipment,2202000001,2,22,220,2202,10
Repairs of plant and fixed equipment,2202000002,2,22,220,2202,10
Spare parts- mechanical /electrical,2202000003,2,22,220,2202,10
Fumigation and Cleaning Services,22021,2,22,220,2202,5
"Fumigation, Chemicals and insecticides",2202100001,2,22,220,2202,10
"Mops, brooms and brushes",2202100002,2,22,220,2202,10
Disinfectants and detergents,2202100003,2,22,220,2202,10
Dry Cleaning and Laundry services,2202100004,2,22,220,2202,10
"Fuel, oils and lubricants",22022,2,22,220,2202,5
Diesel,2202200002,2,22,220,2202,10
Petrol,2202200003,2,22,220,2202,10
Lubricants,2202200004,2,22,220,2202,10
Oils,2202200005,2,22,220,2202,10
Parafin,2202200006,2,22,220,2202,10
Local subscriptions,22023,2,22,220,2202,5
