ACCOUNT NUMBER|ARREARS BALANCE|CURRENT BALANCE
201630|176,71|112,21                                                            
201647|1075,29|112,21                                                           
201661|1497,32|112,21                                                           
201676|0,00|56,35                                                               
201807|0,00|112,21                                                              
201871|86,91|112,21                                                             
201910|0,00|112,21                                                              
201929|989,60|112,21                                                            
202007|0,00|0,00                                                                
202016|192,21|112,21                                                            
202021|191,64|112,21                                                            
202023|312,21|112,21                                                            
202069|4435,02|304,57                                                           
202148|192,21|112,21                                                            
202149|0,00|112,21                                                              
202161|0,00|95,95                                                               
202226|3281,59|112,21                                                           
202244|283,58|112,21                                                            
202254|232,21|112,21                                                            
202351|,82|112,21                                                               
202419|465,76|112,21                                                            
202438|460,95|112,21                                                            
202476|113,42|112,21                                                            
202477|927,49|112,21                                                            
202479|152,21|112,21                                                            
202480|0,00|109,42                                                              
202489|152,30|112,21                                                            
202495|305,69|112,21                                                            
202496|659,84|112,21                                                            
202520|0,00|108,06                                                              
202526|0,00|112,21                                                              
202528|152,21|112,21                                                            
202529|152,34|112,21                                                            
202534|260,46|112,21                                                            
202535|0,00|0,00                                                                
202589|152,21|112,21                                                            
202593|927,32|112,21                                                            
202594|151,71|112,21                                                            
202605|847,67|112,21                                                            
202611|0,00|112,21                                                              
202623|1276,50|112,21                                                           
202698|0,00|112,21                                                              
202884|1493,00|112,21                                                           
203280|0,00|224,45                                                              
203300|366,21|112,21                                                            
203344|3018,55|609,14                                                           
203390|11207,99|1314,46                                                         
204019|155,21|112,21                                                            
204023|4302,74|112,21                                                           
204026|145,21|112,21                                                            
204028|1302,68|112,21                                                           
204032|1087,38|112,21                                                           
204089|224,42|224,42                                                            
204224|25465,53|1859,48                                                         
300087|1400,85|112,21                                                           
300088|567,52|112,21                                                            
300089|91,96|112,21                                                             
300090|0,00|0,00                                                                
300091|38336,86|112,21                                                          
300092|673,56|112,21                                                            
300093|718,91|112,21                                                            
300094|1045,72|112,21                                                           
300095|324,42|112,21                                                            
300096|216,46|112,21                                                            
300097|161,64|112,21                                                            
300098|669,42|112,21                                                            
300099|162,21|112,21                                                            
300100|163,00|112,21                                                            
300101|181,32|112,21                                                            
300102|162,21|112,21                                                            
300163|160,92|112,21                                                            
300166|161,28|112,21                                                            
300196|160,21|112,21                                                            
300232|0,00|112,21                                                              
300234|,11|112,21                                                               
300255|162,21|112,21                                                            
300257|0,00|111,42                                                              
300281|3161,85|112,21                                                           
300282|3793,45|112,21                                                           
300290|161,72|112,21                                                            
300375|334,95|112,21                                                            
300376|20,00|0,00                                                               
300392|0,00|0,00                                                                
300426|618,20|0,00                                                              
300533|212,21|112,21                                                            
300612|1037,82|112,21                                                           
300659|0,00|112,21                                                              
300660|0,00|112,21                                                              
300686|671,35|112,21                                                            
300692|162,21|112,21                                                            
300693|0,00|112,21                                                              
300694|0,00|112,21                                                              
300695|1015,67|112,21                                                           
300700|0,00|112,21                                                              
300702|1638,91|112,21                                                           
300708|,04|112,21                                                               
300711|0,00|112,21                                                              
300717|161,73|112,21                                                            
300718|4,89|112,21                                                              
300799|162,21|112,21                                                            
301325|7720,37|256,48                                                           
301328|224,42|112,21                                                            
500001|524,42|224,42                                                            
500061|5113,29|224,42                                                           
700022|6223,47|352,66                                                           
700068|28208,07|545,02                                                          
700125|159,19|112,21                                                            
700133|0,00|0,00                                                                
700166|2741,90|160,30                                                           
700169|1344,37|112,21                                                           
700194|563,43|112,21                                                            
700217|785,30|160,30                                                            
700281|6994,21|112,21                                                           
700283|3141,20|160,30                                                           
700296|7478,88|160,30                                                           
700297|0,00|0,00                                                                
700298|0,00|0,00                                                                
700299|785,30|160,30                                                            
700300|4082,70|160,30                                                           
700301|247,90|160,30                                                            
700302|0,00|160,30                                                              
700303|4485,90|160,30                                                           
700304|2367,75|160,30                                                           
700305|66,00|160,30                                                             
700306|1352,14|112,21                                                           
700307|1771,30|160,30                                                           
700309|1593,75|160,30                                                           
700311|1070,60|160,30                                                           
700314|0,00|0,00                                                                
700315|1647,10|160,30                                                           
700316|535,30|160,30                                                            
700317|1660,30|160,30                                                           
700318|0,00|0,00                                                                
700319|535,30|160,30                                                            
700320|2783,50|160,30                                                           
700321|891,20|160,30                                                            
700324|3911,70|160,30                                                           
700325|5139,00|160,30                                                           
700326|6389,20|160,30                                                           
700327|516,20|160,30                                                            
700328|410,30|160,30                                                            
700329|2635,55|160,30                                                           
700330|1390,50|160,30                                                           
700331|487,21|112,21                                                            
700332|3764,26|112,21                                                           
700333|250,00|160,30                                                            
700334|3955,39|112,21                                                           
700335|320,60|240,45                                                            
700337|1094,00|160,30                                                           
700338|535,30|160,30                                                            
700340|0,00|0,00                                                                
700341|2214,98|160,30                                                           
700343|0,00|0,00                                                                
700344|6820,05|160,30                                                           
700346|1530,42|112,21                                                           
700351|691,50|160,30                                                            
700353|2116,20|160,30                                                           
700360|2973,95|240,45                                                           
700361|0,00|160,30                                                              
700365|2735,75|240,45                                                           
700367|2642,36|240,45                                                           
700368|3367,90|240,45                                                           
700370|2998,65|160,30                                                           
700372|8,00|112,21                                                              
700374|721,75|240,45                                                            
700375|69,16|112,21                                                             
700376|1884,50|160,30                                                           
700377|312,21|112,21                                                            
700399|654,50|160,30                                                            
700414|0,00|0,00                                                                
700432|3439,83|545,02                                                           
700442|2529,85|160,30                                                           
700443|1069,05|144,27                                                           
700444|655,61|160,30                                                            
700452|1764,07|769,44                                                           
700461|1078,78|192,36                                                           
700464|12984,20|1218,28                                                         
700466|9233,46|801,50                                                           
700467|148,53|545,02                                                            
700473|1325,00|288,54                                                           
700480|0,00|0,00                                                                
700481|1295,95|112,21                                                           
700483|660,30|160,30                                                            
700493|0,00|0,00                                                                
700512|1017,84|545,02                                                           
700513|96,18|96,18                                                              
700514|7093,32|288,54                                                           
700515|1004,96|288,54                                                           
700517|392,82|416,78                                                            
700519|3034,58|769,44                                                           
700529|3228,71|641,20                                                           
700530|1500,00|112,21                                                           
700531|1612,21|112,21                                                           
700532|2336,50|160,30                                                           
700533|5854,33|112,21                                                           
700534|9817,62|320,60                                                           
700536|1236,91|112,21                                                           
700537|0,00|15,53                                                               
700538|2789,78|112,21                                                           
700539|7785,35|112,21                                                           
700540|0,00|44,39                                                               
700541|1696,63|112,21                                                           
700542|13625,83|112,21                                                          
700543|5318,29|112,21                                                           
700544|10233,16|112,21                                                          
700545|12401,45|112,21                                                          
700546|1237,21|112,21                                                           
700547|1612,21|112,21                                                           
700548|4021,55|400,75                                                           
700549|0,00|159,60                                                              
700565|501,38|705,32                                                            
700566|9503,84|545,02                                                           
700576|0,00|0,00                                                                
700577|8763,24|112,21                                                           
700578|0,00|112,21                                                              
700579|0,00|0,00                                                                
700580|1349,42|112,21                                                           
700583|11665,37|112,21                                                          
700584|1137,21|112,21                                                           
700585|5206,75|112,21                                                           
700586|4541,02|272,51                                                           
700587|0,00|99,17                                                               
700588|0,00|0,00                                                                
700589|2529,18|112,21                                                           
700590|1237,21|112,21                                                           
700607|0,00|128,24                                                              
700608|0,00|112,21                                                              
700610|9621,26|112,21                                                           
700611|2764,19|112,21                                                           
700612|7256,01|112,21                                                           
700613|14823,08|112,21                                                          
700614|6069,35|112,21                                                           
700615|0,00|112,21                                                              
700616|34304,36|112,21                                                          
700618|1349,42|112,21                                                           
700619|11577,31|112,21                                                          
700620|11598,78|112,21                                                          
700621|7172,14|112,21                                                           
700622|1473,89|112,21                                                           
700623|0,00|71,10                                                               
700624|6076,05|112,21                                                           
700625|0,00|112,21                                                              
700626|0,00|0,00                                                                
700627|0,00|112,21                                                              
700628|2693,34|112,21                                                           
700629|776,11|112,21                                                            
700631|0,00|112,21                                                              
700632|0,00|0,00                                                                
700633|0,00|0,00                                                                
700634|0,00|112,21                                                              
700645|1612,21|112,21                                                           
700647|1612,21|112,21                                                           
700648|787,61|112,21                                                            
700649|1237,21|112,21                                                           
700650|1237,21|112,21                                                           
700651|1954,21|112,21                                                           
700652|0,00|0,00                                                                
700653|1237,21|112,21                                                           
700654|3335,84|112,21                                                           
700655|6448,84|112,21                                                           
700656|6627,93|112,21                                                           
700661|1237,21|112,21                                                           
700662|12591,15|112,21                                                          
700663|2804,75|112,21                                                           
700664|3366,39|112,21                                                           
700665|3224,42|112,21                                                           
700666|1451,91|112,21                                                           
700672|2429,82|112,21                                                           
700673|6742,02|112,21                                                           
700674|8214,88|160,30                                                           
700675|1724,42|112,21                                                           
700676|1716,72|112,21                                                           
700677|0,00|64,76                                                               
700678|1237,21|112,21                                                           
700679|7603,81|112,21                                                           
700680|0,00|0,00                                                                
700684|0,00|288,54                                                              
700685|2464,95|577,08                                                           
700687|22104,88|1090,04                                                         
700691|501,90|112,21                                                            
700693|13487,43|240,45                                                          
700701|872,90|112,21                                                            
700723|862,21|112,21                                                            
700724|1730,90|160,30                                                           
700733|360,57|112,21                                                            
700734|16011,45|160,30                                                          
700782|52296,50|288,54                                                          
700787|6584,06|609,14                                                           
700788|11099,00|609,14                                                          
700791|2785,30|160,30                                                           
700794|41561,25|160,30                                                          
700797|2904,45|240,45                                                           
700798|0,00|0,00                                                                
700801|862,20|112,21                                                            
700808|1237,21|112,21                                                           
700810|1237,21|112,21                                                           
700811|7187,48|929,74                                                           
700812|1612,21|112,21                                                           
700816|0,00|0,00                                                                
700817|0,00|64,12                                                               
700819|2703,32|705,32                                                           
700820|1609,45|112,21                                                           
700821|0,00|0,00                                                                
700825|19719,14|112,21                                                          
700827|12017,15|112,21                                                          
700829|9910,67|112,21                                                           
700833|13014,55|112,21                                                          
700835|12263,56|160,30                                                          
700837|12910,40|112,21                                                          
700838|15878,90|112,21                                                          
700839|20608,98|288,54                                                          
700841|15594,45|112,21                                                          
700842|4993,59|160,30                                                           
700844|0,00|0,00                                                                
700846|7180,05|112,21                                                           
700847|8984,12|112,21                                                           
700850|2158,30|160,30                                                           
700851|1237,21|112,21                                                           
700852|3994,30|112,21                                                           
700853|16344,06|112,21                                                          
700854|3169,89|160,30                                                           
700855|1659,90|160,30                                                           
700857|5061,05|112,21                                                           
700859|5061,05|112,21                                                           
700979|5784,10|1122,10                                                          
700980|6738,47|833,56                                                           
700981|0,00|240,45                                                              
700982|2359,71|112,21                                                           
700984|12282,28|112,21                                                          
700986|3224,42|112,21                                                           
700987|6262,53|112,21                                                           
700988|1612,21|112,21                                                           
700989|2110,21|112,21                                                           
700990|7355,10|112,21                                                           
700991|2968,30|112,21                                                           
700992|4820,42|112,21                                                           
701019|3759,60|160,30                                                           
701137|1820,60|160,30                                                           
701144|1475,29|112,21                                                           
701148|820,60|160,30                                                            
701152|0,00|60,30                                                               
701153|4029,80|160,30                                                           
701156|660,30|160,30                                                            
701158|791,60|160,30                                                            
701159|7961,35|112,21                                                           
701162|410,30|160,30                                                            
701164|771,05|160,30                                                            
701168|2383,10|160,30                                                           
701175|535,30|160,30                                                            
701176|2327,90|160,30                                                           
701177|6224,01|160,30                                                           
701179|1874,94|112,21                                                           
701180|1070,25|160,30                                                           
701183|0,00|0,00                                                                
701184|3407,75|160,30                                                           
701185|410,30|160,30                                                            
701187|160,30|160,30                                                            
701189|362,39|160,30                                                            
701190|2668,50|160,30                                                           
701195|2419,10|160,30                                                           
701196|410,30|160,30                                                            
701197|410,30|160,30                                                            
701198|320,60|160,30                                                            
701200|970,60|160,30                                                            
701201|762,21|112,21                                                            
701204|611,42|112,21                                                            
701205|794,95|160,30                                                            
701206|2206,15|160,30                                                           
701209|0,00|158,90                                                              
701211|1155,00|160,30                                                           
701212|1893,50|160,30                                                           
701214|1207,48|112,21                                                           
701223|1615,58|160,30                                                           
701226|2910,30|160,30                                                           
701229|2701,85|112,21                                                           
701230|0,00|0,00                                                                
701234|410,30|160,30                                                            
701236|3067,80|160,30                                                           
701239|2134,50|160,30                                                           
701244|820,60|160,30                                                            
701245|1660,60|160,30                                                           
701246|2459,50|160,30                                                           
701250|660,30|160,30                                                            
701251|660,30|160,30                                                            
701253|8462,35|160,30                                                           
701256|4152,77|160,30                                                           
701257|2750,00|160,30                                                           
701259|535,30|160,30                                                            
701261|659,60|160,30                                                            
701263|321,25|112,21                                                            
701267|1881,38|160,30                                                           
701269|516,55|160,30                                                            
701293|0,00|0,00                                                                
701416|8220,85|112,21                                                           
701419|3757,21|112,21                                                           
701420|12246,72|112,21                                                          
701479|10301,02|881,65                                                          
702138|3098,66|112,21                                                           
702142|0,00|112,21                                                              
702145|641,20|160,30                                                            
702146|2768,89|160,30                                                           
702149|300,00|160,30                                                            
702151|410,30|160,30                                                            
702155|0,00|160,30                                                              
702161|0,00|0,00                                                                
702165|0,00|112,21                                                              
702167|3110,30|160,30                                                           
702172|2674,50|160,30                                                           
702173|2762,95|160,30                                                           
702182|2933,50|160,30                                                           
702186|535,30|160,30                                                            
702188|535,30|160,30                                                            
702191|1291,25|160,30                                                           
702199|2914,40|320,60                                                           
702203|917,50|160,30                                                            
702207|1182,60|160,30                                                           
702208|0,00|58,10                                                               
702218|8199,05|160,30                                                           
702219|1958,95|160,30                                                           
702220|4711,65|160,30                                                           
702221|1639,15|160,30                                                           
702222|4106,50|160,30                                                           
702224|3070,55|160,30                                                           
702227|3549,85|160,30                                                           
702228|0,00|159,60                                                              
702231|432,14|160,30                                                            
702232|1311,63|112,21                                                           
702233|1912,21|112,21                                                           
702235|1016,20|160,30                                                           
702237|405,70|160,30                                                            
702238|,60|160,30                                                               
702241|0,00|160,30                                                              
702242|0,00|78,45                                                               
702243|2161,30|160,30                                                           
702247|3243,93|160,30                                                           
702248|1680,90|160,30                                                           
702249|2419,06|160,30                                                           
702252|2932,48|160,30                                                           
702254|2675,37|160,30                                                           
702258|5001,50|160,30                                                           
702265|6281,40|288,54                                                           
702266|659,36|160,30                                                            
702268|653,90|160,30                                                            
702271|0,00|160,30                                                              
702282|9926,35|112,21                                                           
702371|2396,00|112,21                                                           
702412|4289,59|112,21                                                           
702413|9415,07|112,21                                                           
702415|10904,04|112,21                                                          
702437|0,00|0,00                                                                
703060|1270,63|112,21                                                           
703061|3423,15|112,21                                                           
703068|3878,74|112,21                                                           
703070|6455,38|320,60                                                           
703625|12185,09|224,42                                                          
703628|6707,71|320,60                                                           
703631|7885,17|1218,28                                                          
703632|12451,21|1090,04                                                         
703633|18110,36|1090,04                                                         
703645|135,72|160,30                                                            
7001001|2770,54|112,21                                                          
7001002|4190,15|112,21                                                          
7001003|612,21|112,21                                                           
7001006|3923,62|112,21                                                          
7001009|660,30|160,30                                                           
7001010|612,21|112,21                                                           
7001020|3302,56|160,30                                                          
7001028|17004,40|208,39                                                         
7001116|7535,90|112,21                                                          
7001117|2586,63|112,21                                                          
7001118|0,00|112,21                                                             
7001120|739,76|112,21                                                           
7001122|24955,05|288,54                                                         
7001123|91,11|112,21                                                            
7001124|8245,06|288,54                                                          
7001125|2977,54|112,21                                                          
7001131|822,56|112,21                                                           
7001132|9419,44|112,21                                                          
7001142|0,00|0,00                                                               
7001144|2356,65|112,21                                                          
7001145|2804,94|288,54                                                          
7001147|1724,42|112,21                                                          
7001150|1835,75|112,21                                                          
7001151|5192,70|288,54                                                          
7001153|19189,60|160,30                                                         
7001161|0,00|160,30                                                             
7001177|1620,54|288,54                                                          
7001183|6008,00|368,69                                                          
7001196|1300,31|288,54                                                          
7001330|9974,33|160,30                                                          
7001336|2578,85|112,21                                                          
7001338|7004,72|112,21                                                          
7001339|3671,63|112,21                                                          
7001341|2570,60|160,30                                                          
7001363|4462,84|112,21                                                          
7021162|5480,30|160,30                                                          
7021163|0,00|126,20                                                             
7021164|1801,50|160,30                                                          
7031574|3865,79|112,21                                                          
7031713|2494,57|961,80                                                          
7031782|3532,97|320,60                                                          
7033257|9722,19|224,42                                                          
7033269|9592,83|3077,76                                                         
